1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,0.17,,,,,,,,,
,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,0.00,0.17,,,,,,,,
,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,0.17,,,,,
,,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,0.00,0.17,,,,
,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,-0.17,,,,,,,,0.17,,,,,,
,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,-0.17,,,,,,,,0.17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,-0.17,,,,0.00,,,,0.17,,
,,,,,,,,,,,,,,,,,,,,,,-1.00,,,-1.00,4.00,-1.00,,,-1.00,,,,,,,,-0.17,,,,0.00,,,,0.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,
0.83,0.83,,,,,,,,,,,,,,,0.83,,,,0.83,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,
-0.83,,0.83,,,,,,,,,,,,,,,0.17,,,,0.17,,,,,,,,,,,,0.56,,,,,,,,,,,,,,
,-0.83,0.00,0.83,,,,,,,,,,,,,,,0.17,,,,0.17,,,,,,,,,,,,0.56,,,,,,,,,,,,,
,,-0.83,-0.83,,,,,,,,,,,,,,,,0.83,,,,0.83,,,,,,,,,,,,0.28,,,,,,,,,,,,
,,,,0.17,0.17,,,,,,,,,,,-0.83,,,,,,,,0.83,,,,,,,,,,,,0.56,,,,,,,,,,,
,,,,-0.17,,0.17,,,,,,,,,,,-0.17,,,,,,,,0.17,,,,,,,,,,,,1.11,,,,,,,,,,
,,,,,-0.17,0.00,0.17,,,,,,,,,,,-0.17,,,,,,,,0.17,,,,,,,,,,,,1.11,,,,,,,,,
,,,,,,-0.17,-0.17,,,,,,,,,,,,-0.83,,,,,,,,0.83,,,,,,,,,,,,0.56,,,,,,,,
,,,,,,,,0.17,0.17,,,,,,,,,,,-0.83,,,,0.00,,,,0.83,,,,,,,,,,,,0.56,,,,,,,
,,,,,,,,-0.17,,0.17,,,,,,,,,,,-0.17,,,,0.00,,,,0.17,,,,,,,,,,,,1.11,,,,,,
,,,,,,,,,-0.17,0.00,0.17,,,,,,,,,,,-0.17,,,,0.00,,,,0.17,,,,,,,,,,,,1.11,,,,,
,,,,,,,,,,-0.17,-0.17,,,,,,,,,,,,-0.83,,,,0.00,,,,0.83,,,,,,,,,,,,0.56,,,,
,,,,,,,,,,,,0.83,0.83,,,,,,,,,,,-0.83,,,,-0.83,,,,,,,,,,,,,,,,0.28,,,
,,,,,,,,,,,,-0.83,,0.83,,,,,,,,,,,-0.17,,,,-0.17,,,,,,,,,,,,,,,,0.56,,
,,,,,,,,,,,,,-0.83,0.00,0.83,,,,,,,,,,,-0.17,,,,-0.17,,,,,,,,,,,,,,,,0.56,
,,,,,,,,,,,,,,-0.83,-0.83,,,,,,,,,,,,-0.83,,,,-0.83,,,,,,,,,,,,,,,,0.28
